OBJEKTKEY;FIRMA;PROGRAMM;ABTEILUNG;USERNAME;STRASSE;POSTLEITZAHL;ORT;TEL FIRMA;FAX FIRMA;TEL USER;USER FUNKTION;ANZAHL MITARB;USER eMAIL;WEITERGABE;FIRMA WWW;PRG VERSION;PRG ANZ USER;PRG MODULE;PRG LIZENZ;PRG PREIS EURO;PRG WART NR;PRG WART GEBUEHR;PRG WART ART;PRG WART %SATZ;ABSCHL DAT;KUEND DAT;KDBER USERNAME;KDBER USERKENN;PRG ANZ MAN;RE FIRMA;RE ABTEILUNG;RE USERNAME;RE STRASSE;RE POSTLEITZAHL;RE ORT;BEST NR;BEST DAT;BEST NAME;RE ANZ COPIES
100000377;Arosa Mars;;Oscar Tschuor;;;;;;;;;366;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000400;Arsenal;;Jan van der Roost;;;;;;;;;388;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000008;Astronautenmarsch;;Ernst Mosch;;;;;;;;;8;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000069;Auf Wiedersehen und Gute Nacht;;Richard Hummel;;;;;;;;;66;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000408;Auf der Schauckel;;Franz Watz;;;;;;;;;393;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000407;Auf zum Tanz;;Franz Watz;;;;;;;;;393;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000166;Aus alter Zeit;;Hans Hartwig;;;;;;;;;159;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000590;Babz elefant walk;;Henri Mancini arr, John Edmondson;B orchester;;;;;;;;570;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000363;Badonviller Marsch;;Georg Fürst;;;;;;;;;353;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000182;Ballermann Party;;Mike Costello;;;;;;;;;174;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000223;Bandwagon March;;Eric Osterling;;;;;;;;;215;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000111;Barocco;;Robert van Beringen;;;;;;;;;107;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000413;BauAG-Marsch;;;;;;;;;;;397;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000201;Beach Boys on Stage;;John Moss;;;;;;;;;193;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000202;Beauty and the Beast;ORIGINALE VORHANDEN;Toshio Mashima;;;;;;;;;194;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000174;Bella Italia;;Hans Kolditz;;;;;;;;;167;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000006;Berliner Luft;;Paul Lincke;;;;;;;;;6;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000573;Beskydska polka;;Norbert Studnitzky;;;;;;;;;552;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000243;Besuch bei Millöcker;;Gustav Lotterer;;;;;;;;;235;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000300;Besuch bei Offenbach;;Gustav Lotterer;;;;;;;;;301;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000134;Big time Operator;;Richard Saucedo;;;;;;;;;129;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000441;Bill Ramsey;;Harald Kolasch;;;;;;;;;423;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000517;Billy Joel;ANTHONY KOSKO;;;;;;;;;;498;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000342;Bist du bei mir;;Js. Bach;;;;;;;;;333;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000540;Blumengrüße;;Franz Bummerl;;;;;;;;;519;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000382;Bläsersätze zum Gotteslob;;Bertold Hummel;;;;;;;;;371;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000359;Brautchor a. d. Oper Lohengrin;;Paul Meinhold;;;;;;;;;349;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000133;Broadway center Stage;;Paul Murtha;;;;;;;;;128;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000314;Brucker Lager-Marsch;;Hans Kolditz;;;;;;;;;305;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000568;Burgers Holiday;;Michael Edwards;;;;;;;;;547;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000549;Bye Bye Spiritual;;Luigi di Ghisallo;;;;;;;;;529;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000326;Böhmische Musikanten Polka;;Franz Bummerl;;;;;;;;;317;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000380;Böhmische Polka Perlen;;Siegfried Rundel;;;;;;;;;369;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000264;Can you feel the love tonight;;Johnnie Vinson;;;;;;;;;256;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000059;Captain Cook und seine Singenden Saxophone;;Mike Costello;;;;;;;;;57;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
